v_name,v_cat,avg_dist_2_neighborhood,cnt_near_neighborhood,restaurant_id,lat,lng,avg_rate,nearby_rec,rating,menu
Cooler Runnings Jamaican Restaurant Inc,Caribbean Restaurant,479,1,508af256e4b0578944c87392,40.89827622,-73.85038105,6.416666667,10,6.5,
McDonald's,Fast Food Restaurant,904,1,4be5f0eacf200f47d1fa133c,40.90264545,-73.84948544,6.4,13,6.5,"Big Mac??|Cheeseburger|Double Cheeseburger|Hamburger|Quarter Pounder?? Hamburger|Double Quarter Pounder?? with Cheese|Mcdouble??|Grilled Artisan Chicken|Chicken Mcnuggets??|Filet-O-Fish??|Mcchicken??|Buttermilk Crispy Chicken|Bacon Ranch Grilled Chicken Salad|Egg Mcmuffin??|Sausage Mcmuffin?? with Egg|Sausage Mcmuffin??|Sausage Biscuit|Bacon, Egg & Cheese Mcgriddles??|Sausage Mcgriddles??|Sausage, Egg & Cheese Mcgriddles??|Sausage Burrito|Hotcakes & Sausage|Hotcakes|Big Breakfast|Big Breakfast with Hotcakes|Hashbrown|Apple Slices|Fruit N Yogurt Parfait|Egg White Delight Mcmuffin??|Bacon Egg & Cheese Biscuit|Sausage Biscuit with Egg|Fruit & Maple Oatmeal|Hashbrown|World Famous Fries??|Apple Slices|Fruit N Yogurt Parfait|Side Salad|Yoplait?? Go-Gurt Low Fat Strawberry Yogurt|Mccaf???? Chocolate Shake|Mccaf???? Strawberry Shake|Mccaf???? Vanilla Shake|Vanilla Cone|Hot Fudge Sundae|Mcflurry?? with M&M's?? Candies|Kiddie Cone|Hot Caramel Sundae|Strawberry Sundae|Mcflurry?? with Oreo?? Cookies|Baked Apple Pie|Strawberry & Cr??me Pie|Chocolate Chip Cookie|Oatmeal Raisin Cookie|Happy Meal Hamburger|Happy Meal Cheeseburger|Happy Meal 4 Mcnuggets??|Mighty Kids Meal 6 Mcnuggets??|Bacon Ranch Salad with Buttermilk Crispy Chicken|Bacon Ranched Grilled Chicken Salad|Southwest Buttermilk Crispy Chicken Salad|Southwest Grilled Chicken Salad|Side Salad|Mccaf???? Strawberry Banana Smoothie|Mccaf???? Mango Pineapple Smoothie|Mccaf???? Mocha Frapp??|Mccaf???? Caramel Frapp??|Mccaf???? Mocha|Mccaf???? Caramel Mocha|Mccaf???? Iced Mocha|Mccaf???? Iced Caramel Mocha|Mccaf???? Latte|Mccaf???? Caramel Latte|Mccaf???? French Vanilla Latte|Mccaf???? Iced Latte|Mccaf???? Iced Coffee|Mccaf???? Hot Chocolate|Mccaf???? Coffee|Mccaf???? Caramel Iced Coffee|Iced Tea|Sweet Tea|Mccaf???? French Vanilla Iced Coffee|Coca-Cola??|Diet Coke??|Sprite??|Dr. Pepper??|Diet Dr. Pepper??|Powerade?? Mountain Berry Blast|Dasani?? Water|1% Low Fat Milk Jug|Fat Free Chocolate Milk Jug|Honest Kids Appley Ever After Organic Juice Drink"
241 St Cafe & Restaurant,American Restaurant,1019,1,4c010e75cf3aa593825eccb0,40.9035734,-73.85022836,6.4,12,6.6,
Ripe Kitchen & Bar,Caribbean Restaurant,798,1,4d375ce799fe8eec99fd2355,40.89815169,-73.838875,6.7,14,8.7,Cuban Plantain Boat|Jerk Chicken Quesadilla|Strawberry Hill Codfish Spring Rolls|Island Style Spicy Peppered Shrimp|Ripes Big-Ass Jerk Rib-Eye Steak|Ripes Original Backyard Jerk Chicken|Yard Gone to Italy (Rasta Pasta)|The Jerk Chicken Salad|Negril Style Curried Shrimp|Jamaican Beachside Style Fried Fish|Kingston Curried Goat|Mixed Baby Field Green Salad|Sauteed Organic Spinach|Rice & Peas
Townhouse Restaurant,Restaurant,218,1,4be2b79d660ec9284d04ca3b,40.87608589,-73.82886815,5.9,10,5.6,
Restaurant Depot,Kitchen Supply Store,1243,1,4baa6a69f964a5200b683ae3,40.89828218,-73.82368305,7.2,19,8,
Cozy Cottage Restaurant,Diner,137,1,4c54720972cf0f47df1094d4,40.88633207,-73.82761562,8.3,18,8,Chicken Fingers|Cookie|Turkey Burger|Two Eggs Any Style with Meat|Tunafish Salad Platter
Jimmy's Best Chinese Restaurant,Asian Restaurant,556,1,4c0dac537189c928c871d7b6,40.88417922,-73.83268491,7.2,14,6.8,"Egg Roll (Home Made, 1)|Shrimp Egg Roll (1)|Spring Roll (2)|Fried Wonton (10)|Fried Shrimp Wonton|Pan Fried Wonton|Roast Pork End|Bar-B-Q Spare Ribs|Boneless Spare Ribs|Chicken On a Stick|Chinese Dumplings (Fried Or Steamed)|(Fried Steamed) Vegetable Dumplings|Chicken Dumpling|Shrimp Toast (2)|Crab Rangoon|Crab Stick (5)|Wonton Soup|Wonton Egg Drop Soup|Egg Drop Soup|Chicken Rice Soup|Chicken Noodle Soup|Chicken Yat Gaw Mein (Soft Noodles)|Beef Yat Gaw Mein (Soft Noodles)|Pork Mai Fun (Rice Noodles)|Shrimp Mai Fun (Rice Noodles)|Bean Curd Vegetables|Chicken Vegetables|Hot and Sour Soup|House Special Soup|Seafood Soup|Half Fried Chicken|Fried Chicken Wings (4)|Fried Jumbo Shrimps (5)|Chop Spare Ribs Bar-B-Q|18 Fried Shrimps|Fried Calamari|Fried Fish|Fried Scallops|Vegetable Fried Rice|Plain Fried Rice|Roast Pork Fried Rice|Chicken Fried Rice|Shrimp Fried Rice|Beef Fried Rice|Young Chow Fried Rice|Special Fried Rice|Seafood Fried Rice|Brown Rice|White Rice|Roast Pork Lo Mein|Chicken Lo Mein|Beef Lo Mein|Shrimp Lo Mein|House Special Lo Mein|Vegetable Lo Mein|Plain Lo Mein|Cold Noodles W. Sesame Sc|Seafood Lo Mein|Roast Pork Chow Mein|Chicken Chow Mein|Shrimp Chow Mein|Beef Chow Mein|Vegetable Chow Mein|House Special Chow Mein|Chicken Chop Suey|Pork Chop Suey|Beef Or Shrimp Chop Suey|Vegetable Chop Suey|House Special Chop Suey|Pork Or Chicken Egg Foo Young|Beef Egg Foo Young|Shrimp Egg Foo Young|Vegetable Egg Foo Young|Special Egg Foo Young|Pepper Steak W. Onion|Basil Beef|Beef W. Tomato & Pepper|Beef W. Bean Sprouts|Beef W. Black Bean Sauce|Curry Beef W. Onion|Beef W. Snow Peas|Beef W. Mushroom|Beef W. Broccoli|Beef W. Bean Curd|Beef W. Mixed Chinese Veg.|Roast Pork W. Bean Sprouts|Roast Pork W. Mixed Chinese Veg|Roast Pork W. Black Bean Sc|Roast Pork Almond Ding|Roast Pork W. Mushroom|Roast Pork W. Snow Peas|Roast Pork W. Broccoli|Roast Pork W. Bean Curd|Sweet & Sour Pork|Shrimp W. Snow Peas|Shrimp W. Lobster Sauce|Shrimp Almond Ding|Shrimp W. Chinese Vegetables|Shrimp W. Bean Sprouts|Shrimp W. Pepper & Tomato|Shrimp W. Black Bean Sauce|Curry Sauce Shrimp W. Onion|Shrimp W. Bean Curd|Butterfly Shrimp W. Bacon (8)|Lobster Cantonese Style|Shrimp W. Broccoli|Hot & Spicy Lobster|Shrimp W. Mushrooms|Shrimp W. Triple Green|Shrimp W. Mixed Chinese Veg.|Chicken W. Black Bean Sauce|Curry Chicken W. Onion|Sliced Chicken W. Chinese Veg|Chicken Almond Ding Diced|Sliced Chicken W. Broccoli|Chicken W. Bean Curd|Chicken W. Eggplant|Boneless Chicken W. Chinese Veg|Chicken W. Mushroom|Chicken W. Snow Peas|Chicken W. Mixed Chinese Veg|Sweet & Sour Chicken|Beef Or Shrimp Chow Fun|Chicken Or Pork Chow Fun|Vegetable Chow Fun (No Meat)|Roast Pork Or Chicken Chow Mai Fun|Beef Or Shrimp Chow Mai Fun|Singapore Chow Mai Fun (Curry Sauce)|Ma Po Tofu|Broccoli W. Black Bean Sauce|Chinese Vegetable W. Black Mushrooms|Broccoli W. Bean Curd|Sauteed Mixed Chinese Veg|Broccoli W. Garlic Sauce|Triple Green|Sauteed String Beans|Chicken Chow Mein|Shrimp Chow Mein|Egg Foo Young|Pepper Steak|Roast Pork W. Chinese Vegetables|Shrimp W. Lobster Sauce|Bar-B-Q Spare Ribs|Chicken W. Mixed Chinese Vegetables|Sweet & Sour Pork|Chicken W. Broccoli|General Tso's Chicken|Roast Pork Lo Mein|Chicken Chop Suey|Sesame Chicken|Hunan Chicken Or Pork|Chicken W. Snow Peas|Chicken W. Garlic Sauce|Szechuan Chicken|Moo Shu Pork Or Chicken|Moo Shu Beef Or Shrimp|Chicken W. Hot Pepper Sauce|Seafood Delight|Chicken Or Beef W. Garlicsc|Shrimp W. Garlic Sauce|Shrimp & Scallops W. Garlicsc|Four Seasons|Hot Spicy Shredded Beef|Double Cooked Sliced Pork|Bean Curd Szechuan Style|Diced Shrimp Or Chicken W. Cashew Nuts|Double Delight|Szechuan Taste Chicken Or Pork|Sesame Chicken|Lemon Chicken|General Tso's Chicken|General Tso's Shrimps|Beef Or Chicken W. Orange Flavor|Happy Family|Hunan Delicacy|Shrimp with Chili Sauce|Boneless Ribs|Beef with String Bean|Chicken with Eggplant|Teriyaki Chicken On the Stick|Chicken Asparagus|18 Fried Shrimps|Beef W. Chinese Broccoli (W. White Rice)|Crispy Calamari|Honey Bar-B-Q Chicken|Fried Fish (Flounder)|Shrimp and Noodle with Chilly Meat Sauce (No Rice)|Shrimp and Noodle with Black Bean Meat Sauce (No Rice)"
Pimento Caribbean Restaurant,Caribbean Restaurant,507,1,4c6c47ec1fb2a1434807fbe6,40.88436879,-73.83211204,6.1,11,5.9,
Santa Fe Grill & Bar,Mexican Restaurant,803,1,4b78ba71f964a5209fdf2ee3,40.89147883,-73.89766063,7,11,6.3,"Black Bean Soup|Chicken Soup|Soup of the Day|Santa Fe Nachos|Mini Empanadas|Cajun Fried Calamari|Santa Fe Tostadas|Southwestern Chopped Salad|Caesar Salad|Warm Seafood Salad|Taco Salad|Grilled Chicken, Steak Or Chorizo (2)|Roastead Vegetable Quesadillas (2)|Chicken Burrito|Burrito Colorado|Seafood Burrito|Roasted Vegetables Burrito Verde|Santa Fe Style Chicken Enchiladas|Shrimp Enchiladas|Vegetables Enchilada Verde|Carne Asada|Fajitas|Steak|Pollo|Carnitas|Steak Or Chicken Wrap|Cheeseburger|Guacamole|Guacamole & Chips|French Fries|Sour Cream|Rice & Beans|Tortillas (4)|Deep Fried Vanilla Ice Cream|Vanilla & Kahlua Flan|Pastel De Tres Leches|Coke|Diet Coke|Sprite|Orange Juice|Pink Lemonade|Coffee|Hot Tea|Hot Chocolate|Iced Tea|Milk|Grilled Chicken, Steak Or Chorizo (3)|Roasted Vegetable Quesadillas (3)|Chicken Burrito|Burrito Colorado|Roasted Vegetables Burrito Verde|Enchiladas Rancheras|Puebla Style Enchiladas|Enchiladas Tres Amigos|Chicken Chimichangas|Chiles Rellenos|Camarones Santa Fe|Shrimp Enchiladas|Blackened Or Grilled Salmon|Camarones Al Mojo De Ajo|Arroz Con Camarones|Camarones Al Chipotle|Whole Fried Tilapia|Seafood Burrito|Chicken|Shrimp|Mixed|Steak|Seafood|Vegetables|Grilled New York Steak|T-Bone Steak|Surf and Sturf|Pollo a La Parrilla|Santa Fe Style Chicken Breast|Carne Asada Con Rajas|Tampiquena|Bbq Ribs|Carne Adobada|Cheese Quesadilla|Two Hard Shell Beef Tacos|Cheeseburger|Chicken Fingers|Chicken and Cheese Quesadilla|Guacamole|Guacamole & Chips|French Fries|Sour Cream|Rice & Beans|Tortillas (4)|Vegetables|Deep Fried Vanilla Ice Cream|Kahlua Or Vanilla Flan|Pastel De Tres Leches|Chocolate Brownies|Banana Sopapilla|Coke|Diet Coke|Sprite|Pink Lemonade|Ginger Ale|Iced Tea|Coffee|Hot Tea|Hot Chocolate & Milk|Corona|Corona Light|Heineken|Heineken Light|Negra Modelo|Modelo Especial|Xx Amber|Xx Lager|Pacifico|Tecate|Amstel Light|Coors Light|Budweiser|Pint Draft Beer|Pi??a Partida|Hornitos Plata|Patron Silver|Alma De Agave|Tres Generaciones|Jose Cuervo|1800 Silver|House 4|Don Julio Reposado|Corralejo Silver|Jimador|Centenario|Cazadores|Partida Silver|Patron Cafe|Cabo Wabo Silver|Herradura|Corazon|Conmemorativo|Pinot Giorgio La Francesca|Chardonnay La Cetto Chardonnay|Sauvignon Blanc Casa De Vinos|Merlot Santa Rita|Merlot Casa De Vinos|Merlot Carmen Shiraz Dona Consuelo|Cabernet Sauvignon Casa De Vinos|Carmenere Casa De Vinos|White Sinfadel, Delicato"
Mon Amour Coffee & Wine,Coffee Shop,424,1,5660c06b498e4003dba169a5,40.88500863,-73.90033223,8.1,31,8.4,
Riverdale Garden Restaurant & Lounge,Other Nightlife,852.5,2,4e9d991fd5fbfc17a6b95b70,40.88941057,-73.9001085,5.8,10,5.2,"Asparagus Soup|Baby Spinach|Endive and Watercress|Slow-Roasted Red and Golden Beets|Black Trumpet Mushroom and Leek Risotto|Grilled Marinated Squid|Upstate Smoked Salmon and Trout|Wild Boar Ragu|Pan-Roasted Free Range Chicken Breast|Grilled Wild Striped Bass|Lewis Waite Farm Pork Cutlet|Pecan Crusted Ostrich|Long Island Duck Breast and Cured Leg|Porterhouse of Colorado Lamb|Apricot Brioche French|Strawbery Buttermilk Pancakes|Egg White Frittata|Spicy Chicken Sausage|Pecan Pie|Strawberry-Rhubard Crumble|Mascarpone Cheesecake|Butterscotch, Butterscotch, Butterscotch|Chocolate3|Molten Chocolate"
Goodfella's Pizza,Pizza Place,786.3333333,3,4b638b04f964a52036822ae3,40.88712132,-73.90430121,7.4,10,7.6,"Meatball Parmigiana|Sausage Parmigiana|Chicken Cutlet Parmigiana|Veal Cutlet Parmigiana|Shrimp Parmigiana|Eggplant Parmigiana|Chicken Cutlet Hero|Philly Cheese Steak|Cold Italian Combo|Turkey Hero|Salami & Cheese Hero|Ham, & Cheese Hero|Tuna Sub|Peppers & Eggs|Sausage & Eggs|Ham & Eggs|Sausage & Peppers|Deep Dish Pan Pizza|Personal Pan Pizza|White Pizza|Salad Pizza|Vegetable Pizza|Lasagna Pizza|Baked Ziti Pizza|Chicken Parmigiana Pizza|Mexican Pizza|Hawaiian Pizza|Meat Explosion Pizza|Meat Stuffed Pizza|Vegetable Stuffed|Antipasto Salad|House Tossed Salad|Caesar Salad|Chicken Caesar Salad|Ham & Cheese Salad|Turkey & Cheese Salad|Mozzarella Sticks (6)|Chicken Fingers|Buffalo Wings|Beef Patties|French Fries|French Fries|Fried Cheese Ravioli (8)|Zeppolies (5)|Toppings|Extra|Chicken Noodle Or Vegetable|2 Meatballs|4 Meatballs|2 Sausages|4 Sausages|8 Garlic Knots|Garlic Bread|Garlic Bread|Marinara Sauce|Marinara Sauce|Grated Cheese|Spaghetti, Linguini, Or Ziti|Linguini|Baked Ziti|Spaghetti & Meatballs|Baked Ziti Sorrentine|Lasagna|Manicotti|Cheese Ravioli|Stuffed Shells|Fettuccine Alfredo|Cheese Tortellini Alfredo|Cheese Tortellini Marinara|Penne Ala Vodka|Chicken Francese|Chicken Marsala|Chicken Cutlet Parmigiana|Veal Cutlet Parmigiana|Eggplant Parmigiana|Shrimp Parmigiana|Shrimp Fra Diavolo|Sausage & Peppers|Hot Dog Roll|Hot Dog Roll|Chicken Roll|Cheese Calzones|Chocolate Cake|S&S Cheesecake|Cannoli Fresh|Coke & Pepsi Products|Snapple|Apple Juice|Orange Juice|Spring Water|Any Large Pie|2 Large Pies 1 Topping Each|Garlic Bread with Cheese|Fried Cheese Ravioli|Regular|Regular Combination|Sicilian|Sicilian Combination Pizza|Regular Slice|Sicilian Slice|Each Topping"
Silhouette Restaurant & Lounge,Latin American Restaurant,462,2,4e8b34c561afcc24d9a236ca,40.88070644,-73.90268654,6.9,10,6.7,
Irish Coffee Shop,American Restaurant,580,1,4c543dd2728920a1ce756c82,40.9034488,-73.86647719,7.6,10,7.6,"Garlic Mushrooms|Mozzarella Sticks|Buffalo Wings|Chicken Fingers|Chicken Nuggets (10)|Potato Skins|Onion Rings|Celtic Potatoes|Soup|Beef Burger|Cheese Burger|Bacon Cheese Burger|Chicken Burger|Cod Fish Burger|Irish Seasoned Burger|Irish Burger Deluxe|Side of Curry|Side of Irish Beans|Tuna Wrap|Irish Salad Wrap|Breaded Chicken Wrap|Grilled Chicken Wrap|Irish Ham Toastie|Philly Cheesesteak|Grilled Chicken Toastie|Grilled Chicken|Chicken Cutlet|Grilled Cheese|Grilled Cheese and Bacon|Tuna Melt|Chicken B.L.T.|Roast Beef|Ham and Cheese|White Tuna Salad|Chicken Salad|Roast Chicken|Egg Salad|Irish Salad|Chicken|Cordon Bleu|Turkey|Tuna|Chicken Curry|Irish Sausages, Chips & Beans|Fish and Chips|Irish Mixed Grill|Steak and Eggs|Quiche|Grilled Gammon Steak|Country B.L.T|B.L.T|Chicken Or Turkey Club|Irish B.L.T|Chicken Pot Pie|Steak and Onion Pie|Steak and Onion Pie|Coffee|Barrys Tea|Lipton Tea|Decaf Coffee|Hot Chocolate|Milk|Orange Juice|Small Orange Juice|Apple Juice|Club Orange|Lucozade|Coke|Diet Coke|Seltzer|Iced Coffee|Sprite|Ginger Ale|Cheese Cake|Chocolate Cake|Carrot Cake|Home Made Apple Pie|Rhubarb Pie|Vanilla Ice Cream|Home Made Trifle|Cappuccino Moussecake|Dessert and Ice Cream"
Rory Dolan's,Bar,746,1,4ac7e99bf964a5208cba20e3,40.90488814,-73.86879244,8.7,28,8.8,
Moriarty's Bar & Restaurant,Pub,555,1,4d4f16d29a2a6ea83b05296f,40.9029662,-73.86505893,6.7,11,6.5,
E&L Bakery,Bakery,920.5,2,4cd3edd25366548131a129ed,40.89368629,-73.85723406,6.7,10,6.7,
Caribe Restaurant,Spanish Restaurant,613,1,4b7435aef964a52042cd2de3,40.88258086,-73.88111748,6.9,12,6.1,
El Valled Restaurant,Latin American Restaurant,622,1,4dd02b28d4c065592fa9a7fb,40.88258905,-73.88146673,6.2,10,6.2,
Gary & Gino's Pizzeria,Pizza Place,980,1,4ab7a594f964a5204d7a20e3,40.88600913,-73.87861282,6.1,10,6.1,
Queen of Tacos,Mexican Restaurant,493,1,4e74ebead1643f93b1b05d2c,40.88024598,-73.88368544,7.1,17,7.1,
Roc A Tone Restaurant,Seafood Restaurant,509,1,4cc9e32041e75481e92c5f84,40.88262,-73.86313,8.4,23,8.4,
Applebee's Grill + Bar,American Restaurant,868,2,4bb0ebe3f964a5205c6a3ce3,40.86618631,-73.82647786,6.2,10,6.2,Appetizer Sampler|Spinach & Artichoke Dip|Classic Wings|Cheeseburger Sliders|Mozzarella Sticks|Fiesta Chicken Chopped Salad*|Bruschetta Chicken Salad|Seasonal Berry & Spinach Salad|Grilled Shrimp 'N Spinach Salad|Grilled Chicken Caesar Salad|Sizzling N'awlins Skillet|Grilled Jalapeno-Lime Shrimp*|Blackened Tilapia|Garlic Herb Salmon|Lemon Shrimp Fettuccine|Tomato Basil Soup|Today's Soup with Any Meal|Grilled Or Fried Shrimp|Caesar Salad|Toasted Garlic Bread Basket|Triple Chocolate Meltdown|Maple Butter Pecan Blondie|Chocolate Chip Cookie Sundae|Strawberry Cheesecake Dessert Shooter|Chocolate Mousse Dessert Shooter|Hot Fudge Sundae Dessert Shooter
Subway restaurant,Sandwich Place,831,1,597e5fda8a6f170227f19f29,40.863352,-73.827074,6.6,13,6.6,
Sammy's Fish Box Restaurant,Seafood Restaurant,946,1,4a9ad800f964a5201c3320e3,40.83904088,-73.78356573,7.9,31,7.9,
